Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
2019,72.85135322,NA,NA,NA,NA,NA,NA
2045,68.07550746,NA,NA,NA,NA,NA,NA
