Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
2019,NA,NA,NA,NA,NA,NA,NA
2045,NA,NA,NA,NA,NA,NA,NA
