Year,CarSvcAutoPropIcev,CarSvcAutoPropHev,CarSvcAutoPropBev,CarSvcLtTrkPropIcev,CarSvcLtTrkPropHev,CarSvcLtTrkPropBev
2019,0.99,0.01,0,1,0,0
2045,0,0.7485,0.2515,0,0.72395,0.27605
