Geo,Year,AveHhSize,Prop1PerHh
Fairfax,2019,2.8625,0.2300
Falls Church,2019,2.6855,0.2400
Fairfax City,2019,2.7275,0.3300
Fairfax,2045,2.5638,0.3000
Falls Church,2045,1.8165,0.3100
Fairfax City,2045,2.6756,0.4300
