Geo,Year,D3bpo4
1796.03,2019,12.1308
1797.01,2019,16.89
1797.02,2019,16.889063
1797.03,2019,16.324253
1798.01,2019,13.902349
1798.02,2019,18.098089
1798.03,2019,3.025131
1798.04,2019,2.223404
1799,2019,3.574841
1800.01,2019,8.087604
1800.02,2019,17.854042
1800.03,2019,5.626684
1800.04,2019,2.201651
1800.05,2019,2.506667
1800.06,2019,6.78718
1801,2019,3.757145
1802,2019,25.263627
1803,2019,9.153424
1804,2019,8.624162
1805,2019,20.450673
1806,2019,18.850553
1807,2019,10.647563
1808,2019,8.926677
1809,2019,11.935256
1810,2019,18.824884
1811,2019,3.16472
1812,2019,10.322565
1813,2019,10.440151
1814.01,2019,4.821063
1814.02,2019,10.767343
1815,2019,24.859387
1816,2019,9.371886
1817.01,2019,4
1817.02,2019,4.034796
1817.03,2019,4
1818,2019,9.130972
1819,2019,12.720307
1820,2019,10.349499
1821,2019,18.983712
1822,2019,9.90339
1823,2019,18.861664
1824,2019,19.182359
1825,2019,9.590534
1826,2019,2.844009
1827,2019,10.50027
1828,2019,2.335481
1829,2019,2.337721
1830,2019,9.362132
1831,2019,5.7176
1832.01,2019,4.640639
1832.02,2019,6.210075
1832.03,2019,6.283066
1833.01,2019,1.211984
1833.02,2019,1.178379
1833.03,2019,1.190637
1834,2019,1.22336
1835,2019,1.212354
1836,2019,5.083603
1837,2019,3.399936
1838.01,2019,3.238797
1838.02,2019,3.415513
1839,2019,7.144415
1840,2019,3.443129
1841.01,2019,7.258924
1841.02,2019,7.185995
1841.03,2019,7.266778
1841.04,2019,6.328622
1842.01,2019,7.27
1842.02,2019,7.27
1843.01,2019,7.204985
1843.02,2019,7.27
1844,2019,7.27
1845.01,2019,7.236348
1845.02,2019,7.055312
1845.03,2019,7.27
1846.01,2019,7.027016
1846.02,2019,7.27
1847.01,2019,0.002532
1847.02,2019,0.020705
1848.01,2019,12.615258
1848.02,2019,4.49746
1849.01,2019,5.737444
1849.02,2019,5.307752
1850,2019,16.092606
1851.01,2019,8.591408
1851.02,2019,8.686359
1852.01,2019,8.544749
1852.02,2019,9.481716
1853.01,2019,8.302639
1853.02,2019,8.231741
1854.01,2019,8.317864
1854.02,2019,8.583506
1855,2019,7.27012
1856,2019,26.403128
1857,2019,26.566732
1858,2019,6.847361
1859,2019,6.88128
1860,2019,20.154627
1861,2019,10.160926
1862,2019,23.81861
1863,2019,10.201675
1864,2019,14.025824
1865.01,2019,12.175718
1865.02,2019,12.693556
1865.03,2019,14.030769
1865.04,2019,14.030769
1866.01,2019,22.060084
1866.02,2019,65.54603
1866.03,2019,1.754978
1867.01,2019,1.145808
1867.02,2019,0
1868.01,2019,3.400218
1868.02,2019,3.360424
1868.03,2019,3.423955
1869.01,2019,0.0723
1869.02,2019,0.48708
1870,2019,0.183137
1871,2019,2.96906
1872,2019,1.7911
1873,2019,26.295761
1874,2019,20.729671
1875,2019,7.924398
1876,2019,13.583261
1877,2019,3.068404
1878,2019,13.238424
1879,2019,18.627904
1880,2019,3.558339
1881,2019,10.775158
1882,2019,0.796967
1883,2019,6.600095
1884,2019,3.22551
1885,2019,0.00849
1886,2019,1.099688
1887,2019,0.027859
1888,2019,1.208346
1889,2019,1.250206
1890,2019,1.025596
1891,2019,6.076423
1892,2019,3.462481
1893,2019,0.988734
1894,2019,0.985741
1895,2019,0.992529
1896,2019,0.93846
1897,2019,0.313765
1898,2019,0.938946
1899,2019,0.217782
1900,2019,0.664017
1901.01,2019,5.730024
1901.02,2019,5.710123
1901.03,2019,5.743995
1902,2019,0.309398
1903,2019,0.49859
1904,2019,5.710177
1905,2019,20.095048
1906.01,2019,17.168522
1906.02,2019,15.252021
1907,2019,13.503676
1908,2019,17.642719
1909,2019,6.031271
1910,2019,2.330085
1911,2019,2.330413
1912,2019,2.501382
1913,2019,7.682349
1914,2019,4.705602
1915,2019,6.154615
1916,2019,8.815487
1917,2019,10.766609
1918,2019,19.795276
1919,2019,9.874083
1920,2019,24.572104
1921,2019,5.88528
1922,2019,1.57524
1923,2019,7.221336
1924,2019,7.819983
1925,2019,6.895692
1926,2019,6.862637
1927,2019,4.880294
1928,2019,4.322197
1929,2019,17.32136
1930,2019,17.155296
1931,2019,6.487691
1932,2019,23.990401
1933,2019,15.413224
1934,2019,17.783865
1935,2019,30.112918
1936,2019,30.950544
1937,2019,17.487063
1938,2019,20.041322
1939,2019,17.890754
1940,2019,15.768006
1941,2019,54.415824
1942,2019,9.022297
1943.01,2019,10.468618
1943.02,2019,10.470102
1943.03,2019,9.726944
1944.01,2019,3.546644
1944.02,2019,2.194252
1944.03,2019,2.972061
1944.04,2019,6.019223
1944.05,2019,6.109856
1944.06,2019,2.19
1945.01,2019,11.437967
1945.02,2019,11.436178
1945.03,2019,7.677609
1946,2019,5.472497
1947,2019,8.766122
1948,2019,8.355978
1949,2019,8.481333
1950,2019,8.847348
1951,2019,13.46213
1952,2019,6.159726
1953,2019,10.635375
1954,2019,15.347358
1955,2019,1.426136
1956,2019,1.575024
1957,2019,14.414806
1958,2019,41.400733
1959,2019,5.064217
1960,2019,7.547993
1961,2019,13.111159
1962,2019,25.43526
1963,2019,24.911154
1964,2019,0.634733
1965,2019,6.714115
1966.01,2019,7.95153
1966.02,2019,8.392886
1967,2019,10.244061
1968.01,2019,0.451243
1968.02,2019,0.170521
1969.01,2019,4.634972
1969.02,2019,4.643738
1970,2019,4.446824
1971,2019,4.754218
1972.01,2019,1.684563
1972.02,2019,1.683859
1972.03,2019,36.367738
1972.04,2019,13.043824
1973.01,2019,4.808984
1973.02,2019,4.642045
1973.03,2019,4.615088
1973.04,2019,4.655289
1974,2019,11.336666
1975,2019,7.593201
1976,2019,11.149076
1977,2019,6.632318
1978,2019,9.272123
1979,2019,9.795526
1980,2019,9.563242
1981,2019,7.280422
1982,2019,3.752262
1983,2019,7.752828
1984,2019,16.75974
1985,2019,8.418533
1986,2019,20.125639
1987,2019,14.30002
1988,2019,4.708117
1989.01,2019,20.681495
1989.02,2019,18.161034
1989.03,2019,18.225803
1990,2019,16.840856
1991,2019,16.996351
1992,2019,12.158331
1993,2019,2.437282
1994,2019,6.135023
1995,2019,9.637839
1996,2019,2.362792
1997,2019,10.270666
1998,2019,7.55559
1999,2019,7.935601
2000,2019,9.689577
2001,2019,10.12634
2002,2019,20.413718
2003,2019,14.304235
2004,2019,10.124897
2005,2019,8.058058
2006.01,2019,5.990161
2006.02,2019,5.990161
2007,2019,6.616295
2008,2019,10.766693
2009,2019,9.156279
2010,2019,16.045345
2011,2019,9.409334
2012.01,2019,26.304546
2012.02,2019,24.63414
2013.01,2019,8.028045
2013.02,2019,8.951333
2014,2019,28.506226
2015,2019,22.446306
2016,2019,22.46
2017,2019,22.182548
2018.01,2019,4.600166
2018.02,2019,4.601313
2018.03,2019,4.657093
2019,2019,21.806056
2020,2019,9.708855
2021,2019,7.22746
2022,2019,5.31822
2023,2019,11.210775
2024,2019,3.443029
2025.01,2019,3.328105
2025.02,2019,3.586012
2025.03,2019,3.26
2026,2019,10.750003
2027,2019,10.521978
2028,2019,10.750003
2029,2019,15.831167
2030,2019,16.040849
2031,2019,8.75123
2032,2019,9.765802
2033,2019,16.507854
2034,2019,9.788133
2035,2019,20.616597
2036.01,2019,0.947218
2036.02,2019,1.925369
2036.03,2019,0.902911
2037,2019,12.669173
2038,2019,26.183728
2039,2019,22.657376
2040,2019,13.980705
2041,2019,4.00234
2042,2019,1.648016
2043,2019,7.325339
2044.01,2019,9.374344
2044.02,2019,2.888891
2045,2019,3.639767
2046,2019,9.796034
2047.01,2019,7.709601
2047.02,2019,9.186415
2048,2019,3.097166
2049,2019,6.336292
2050,2019,10.529606
2051,2019,21.211671
2052,2019,7.903181
2053,2019,10.298629
2054,2019,6.621581
2055,2019,12.363869
2056,2019,13.6897
2057,2019,9.195301
2058,2019,14.068306
2059,2019,9.358167
2060,2019,5.463994
2061.01,2019,14.299299
2061.02,2019,14.611111
2062.01,2019,2.404889
2062.02,2019,2.989375
2062.03,2019,6.12336
2063.01,2019,5.624779
2063.02,2019,14.609575
2064,2019,0.298352
2065,2019,18.37068
2066.01,2019,13.404216
2066.02,2019,12.982617
2067,2019,12.467137
2068,2019,12.347856
2069.01,2019,6.326664
2069.02,2019,9.543229
2070,2019,7.996703
2071,2019,4.461564
2072,2019,8.225945
2073.01,2019,14.911281
2073.02,2019,14.593318
2073.03,2019,6.774419
2074.01,2019,13.662157
2074.02,2019,7.849356
2075.01,2019,20.914919
2075.02,2019,36.894849
2076.01,2019,21.24462
2076.02,2019,33.689741
2076.03,2019,20.92
2077,2019,10.381212
2078,2019,1.116937
2079.01,2019,10.406129
2079.02,2019,7.806538
2080.01,2019,8.936869
2080.02,2019,9.340499
2080.03,2019,7.940328
2080.04,2019,9.879664
2081,2019,22.087981
2082,2019,29.6873
2083,2019,10.635748
2084,2019,18.633747
2085.01,2019,13.528539
2085.02,2019,11.87436
2086.01,2019,10.627134
2086.02,2019,10.417077
2086.03,2019,10.286349
2087,2019,10.376099
2088,2019,7.152089
2089.01,2019,3.500253
2089.02,2019,3.517017
2089.03,2019,18.082991
2089.04,2019,10.495111
2090,2019,2.890717
2091,2019,0.739272
2092,2019,0.868402
2093,2019,0.835522
2094,2019,0.636343
2095,2019,0.582951
2096.01,2019,3.595214
2096.02,2019,3.281098
2097,2019,6.42412
2098,2019,7.823318
2099.01,2019,1.652561
2099.02,2019,1.897477
2100,2019,1.448265
2101,2019,9.055554
2102,2019,2.955566
2103,2019,1.311299
2104,2019,1.471546
2105,2019,1.479079
2106,2019,11.725667
2107,2019,10.252568
2108,2019,5.922547
2109,2019,1.596903
2110,2019,5.904925
2111.01,2019,5.817552
2111.02,2019,0.969916
2112.01,2019,0.93789
2112.02,2019,0.885706
2112.03,2019,0.885706
2112.04,2019,0.893098
2112.05,2019,0.023434
2112.06,2019,0.877167
2113,2019,7.050917
2114.01,2019,5.989918
2114.02,2019,8.671059
2114.03,2019,13.548924
2115.01,2019,17.004663
2115.02,2019,14.849217
2116.01,2019,5.796221
2116.02,2019,5.870014
2117.01,2019,5.91681
2117.02,2019,6.884667
2118,2019,3.928207
2119,2019,3.601267
2120,2019,3.861649
2121,2019,3.398175
2122,2019,3.947582
2123,2019,0.257944
2124,2019,0.136712
2125,2019,9.962707
2126,2019,4.335922
2127,2019,4.878205
2128,2019,10.647897
2129,2019,7.516502
