Geo,Year,TotEmp,RetEmp,SvcEmp
1797.01,2019,482,49,304
1797.02,2019,592,59,371
1797.03,2019,237,25,150
1798.01,2019,1278,145,724
1798.02,2019,1074,97,651
1798.03,2019,597,163,214
1798.04,2019,488,135,179
1799,2019,750,14,506
1800.01,2019,982,326,381
1800.02,2019,241,48,102
1800.03,2019,917,241,257
1800.04,2019,237,64,66
1800.05,2019,1000,273,286
1800.06,2019,462,148,171
1801,2019,356,61,204
1802,2019,462,47,157
1803,2019,679,1,605
1804,2019,1099,0,990
1805,2019,262,29,185
1806,2019,14,0,11
1807,2019,83,0,63
1808,2019,106,10,75
1809,2019,520,0,475
1810,2019,2073,642,867
1811,2019,681,56,345
1812,2019,627,259,177
1813,2019,195,81,55
1814.01,2019,1232,122,656
1814.02,2019,840,83,453
1815,2019,335,5,231
1816,2019,481,26,294
1817.01,2019,2358,234,1256
1817.02,2019,645,64,344
1817.03,2019,1522,151,811
1818,2019,170,4,110
1819,2019,160,8,123
1820,2019,257,20,203
1821,2019,5252,508,821
1822,2019,1156,129,542
1823,2019,1508,271,734
1824,2019,1435,191,707
1825,2019,563,59,258
1826,2019,105,3,31
1827,2019,87,6,50
1828,2019,185,1,121
1829,2019,31,0,19
1830,2019,158,21,78
1831,2019,716,89,331
1832.01,2019,1448,275,677
1832.02,2019,2150,408,1008
1832.03,2019,59,9,28
1833.01,2019,99,14,59
1833.02,2019,230,18,116
1833.03,2019,95,9,51
1834,2019,959,137,565
1835,2019,263,37,155
1836,2019,322,17,140
1837,2019,2156,125,770
1838.01,2019,1256,73,465
1838.02,2019,482,28,173
1839,2019,2375,281,1485
1840,2019,1717,100,617
1841.01,2019,1309,155,817
1841.02,2019,1367,159,844
1841.03,2019,2953,353,1861
1841.04,2019,1291,152,805
1842.01,2019,5109,611,3222
1842.02,2019,1810,216,1141
1843.01,2019,2940,352,1854
1843.02,2019,7349,878,4634
1844,2019,2973,355,1874
1845.01,2019,1543,183,968
1845.02,2019,2584,305,1620
1845.03,2019,1832,219,1155
1846.01,2019,3709,438,2325
1846.02,2019,2406,288,1517
1847.01,2019,3473,210,1693
1847.02,2019,2917,176,1422
1848.01,2019,733,136,355
1848.02,2019,1470,248,692
1849.01,2019,973,185,456
1849.02,2019,1744,287,917
1850,2019,217,36,119
1851.01,2019,4571,173,3051
1851.02,2019,4778,151,3103
1852.01,2019,339,13,229
1852.02,2019,529,19,356
1853.01,2019,1039,46,695
1853.02,2019,988,66,652
1854.01,2019,352,15,237
1854.02,2019,890,39,600
1855,2019,5143,615,3243
1856,2019,293,4,263
1857,2019,961,3,905
1858,2019,1760,204,914
1859,2019,401,10,241
1860,2019,1020,39,733
1861,2019,1489,139,930
1862,2019,141,0,111
1863,2019,218,1,186
1864,2019,1830,7,1669
1865.01,2019,1165,4,1032
1865.02,2019,659,2,572
1865.03,2019,733,3,669
1865.04,2019,328,1,299
1866.01,2019,721,1,546
1866.02,2019,15,0,12
1866.03,2019,500,1,247
1867.01,2019,2971,85,1716
1867.02,2019,757,0,422
1868.01,2019,1698,98,606
1868.02,2019,2320,134,828
1868.03,2019,2013,117,720
1869.01,2019,350,0,134
1869.02,2019,513,15,193
1870,2019,516,0,192
1871,2019,351,25,199
1872,2019,188,4,174
1873,2019,360,90,140
1874,2019,1410,309,558
1875,2019,7,0,6
1876,2019,1021,146,628
1877,2019,144,19,54
1878,2019,447,64,273
1879,2019,1952,102,1068
1880,2019,1211,134,620
1881,2019,2385,132,1331
1882,2019,199,0,183
1883,2019,89,0,82
1884,2019,153,9,121
1885,2019,368,11,268
1886,2019,58,2,37
1887,2019,113,21,85
