Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2019,PropNonWrkTripPay
1689.03,2019,2,1.6,0,0.11,0,5.52,0
1690.01,2019,2,1.6,0,0.11,0,5.99,0
1690.02,2019,2,1.6,0,0.11,0,5.99,0
1691,2019,2,1.6,0,0.11,0,4.77,0
1692,2019,2,1.6,0,0.11,0,2.38,0
1693,2019,2,1.6,0,0.11,0,1.59,0
1694,2019,2,1.6,0,0.11,0,2.44,0
1695,2019,2,1.6,0,0.11,0,2.11,0
1696,2019,2,1.6,0,0.11,0,2.48,0
1697,2019,2,1.6,0,0.11,0,2.35,0
1698,2019,2,1.6,0,0.11,0,0,0
1699,2019,2,1.6,0,0.11,0,0,0
1700,2019,2,1.6,0,0.11,0,0,0
1701,2019,2,1.6,0,0.11,0,0,0
1702,2019,2,1.6,0,0.11,0,0,0
1703,2019,2,1.6,0,0.11,0,4.07,0
1704.01,2019,2,1.6,0,0.11,0,4.57,0
1704.02,2019,2,1.6,0,0.11,0,4.57,0
1704.03,2019,2,1.6,0,0.11,0,4.57,0
1705,2019,2,1.6,0,0.11,0,3.38,0
1706,2019,2,1.6,0,0.11,0,0.7,0
1707,2019,2,1.6,0,0.11,0,0,0
1708,2019,2,1.6,0,0.11,0,0,0
1709,2019,2,1.6,0,0.11,0,0,0
1710,2019,2,1.6,0,0.11,0,0,0
1711,2019,2,1.6,0,0.11,0,0,0
1712,2019,2,1.6,0,0.11,0,0,0
1713,2019,2,1.6,0,0.11,0,0,0
1714,2019,2,1.6,0,0.11,0,0,0
1715,2019,2,1.6,0,0.11,0,0,0
1716,2019,2,1.6,0,0.11,0,0,0
1717,2019,2,1.6,0,0.11,0,0,0
1718,2019,2,1.6,0,0.11,0,0,0
1719,2019,2,1.6,0,0.11,0,0,0
1720,2019,2,1.6,0,0.11,0,0,0
1721,2019,2,1.6,0,0.11,0,0,0
1722,2019,2,1.6,0,0.11,0,0,0
1723,2019,2,1.6,0,0.11,0,3.66,0
1724,2019,2,1.6,0,0.11,0,0,0
1725.01,2019,2,1.6,0,0.11,0,5.74,0
1725.02,2019,2,1.6,0,0.11,0,5.74,0
1726.01,2019,2,1.6,0,0.11,0,4.83,0
1726.02,2019,2,1.6,0,0.11,0,4.83,0
1727,2019,2,1.6,0,0.11,0,5.11,0
1728.01,2019,2,1.6,0,0.11,0,4.88,0
1728.02,2019,2,1.6,0,0.11,0,4.88,0
1729.01,2019,2,1.6,0,0.11,0,6.82,0
1729.02,2019,2,1.6,0,0.11,0,6.82,0
1730.01,2019,2,1.6,0,0.11,0,5.95,0
1730.02,2019,2,1.6,0,0.11,0,5.95,0
1731.01,2019,2,1.6,0,0.11,0,6.05,0
1731.02,2019,2,1.6,0,0.11,0,6.05,0
1731.03,2019,2,1.6,0,0.11,0,6.05,0
