Geo,Year,VanPropDiesel,VanPropGasoline,VanPropCng,BusPropDiesel,BusPropGasoline,BusPropCng,RailPropDiesel,RailPropGasoline
NVTA,2019,0,1,0,0.8170,0,0.1830,1,0
NVTA,2045,0,1,0,0.7857,0,0.2143,1,0
