"Geo","Year","UrbanArea","TownArea","RuralArea"
1611,2019,0,1008.0846086204,0
1612,2019,0,0,1191.22305694562
1613,2019,556.958192081894,0,0
1614,2019,93.4706096079986,0,0
1615,2019,0,1758.29199892915,0
1616,2019,0,562.373336354773,0
1617,2019,0,1836.58925724249,0
1618,2019,1554.3951571686,0,0
1619,2019,0,1178.76762386683,0
1620,2019,0,648.630439015822,0
1621,2019,0,680.878616648573,0
1622,2019,0,1328.90666117023,0
1623,2019,0,1322.02846570228,0
1624,2019,0,682.293605194008,0
1625,2019,0,1358.09936905469,0
1626,2019,0,1346.85263643644,0
1627,2019,302.394513620621,0,0
1628.01,2019,0,0,101.579350598222
1628.02,2019,0,94.4937379146518,0
1628.03,2019,188.244004159997,0,0
1629,2019,244.349813592393,0,0
1630.01,2019,160.115836319188,0,0
1630.02,2019,83.0877142632907,0,0
1631,2019,73.4270900155818,0,0
1632.01,2019,105.014299020363,0,0
1632.02,2019,116.069300924512,0,0
1632.03,2019,99.6280316496232,0,0
1632.04,2019,65.5185758472452,0,0
1633,2019,50.5202144907142,0,0
1634,2019,66.394905997298,0,0
1635,2019,898.963801817164,0,0
1636,2019,1121.43962931061,0,0
1637,2019,198.375417405679,0,0
1638.01,2019,139.112130765177,0,0
1638.02,2019,126.631032296902,0,0
1639.01,2019,57.3884200143812,0,0
1639.02,2019,97.1921149286111,0,0
1640,2019,185.190557638813,0,0
1641,2019,0,205.164066273003,0
1642,2019,0,0,172.508404254777
1643,2019,665.783224609434,0,0
1644,2019,0,0,109.428863648647
1645,2019,119.740748190113,0,0
1646,2019,161.065011077559,0,0
1647.01,2019,212.163879143751,0,0
1647.02,2019,39.2512538918073,0,0
1648,2019,125.972641478751,0,0
1649,2019,213.855274894234,0,0
1650,2019,172.373098076714,0,0
1651,2019,0,0,279.090767509361
1652.01,2019,0,87.0498369618692,0
1652.02,2019,247.88030832028,0,0
1653,2019,1099.30866258375,0,0
1654.01,2019,285.368240927102,0,0
1654.02,2019,256.765654739775,0,0
1655,2019,572.393686218343,0,0
1656,2019,477.706206845586,0,0
1657,2019,183.426549908914,0,0
1658,2019,93.4720461396261,0,0
1659,2019,576.354389774421,0,0
1660,2019,90.4814568410337,0,0
1661,2019,451.777772825699,0,0
1662.01,2019,78.0725346850263,0,0
1662.02,2019,0,0,115.98265727188
1662.03,2019,64.0041314938785,0,0
1663,2019,369.107551243989,0,0
1664,2019,250.433849349511,0,0
1665.01,2019,672.398205972901,0,0
1665.02,2019,188.68235598284,0,0
1666,2019,513.923278291348,0,0
1667,2019,370.007457603906,0,0
1668,2019,404.113589671289,0,0
1669,2019,504.696787613495,0,0
1670,2019,514.15787734892,0,0
1671,2019,634.016092016783,0,0
1672.01,2019,380.065929592207,0,0
1672.02,2019,0,0,89.6545467018441
1673.01,2019,0,0,136.835911933339
1673.02,2019,0,0,89.1766314144403
1673.03,2019,0,0,162.404030318851
1674,2019,642.425927607413,0,0
1675.01,2019,0,264.846151424441,0
1675.02,2019,0,0,128.607219956496
1676.01,2019,0,0,84.3995717438254
1676.02,2019,0,0,182.881100464478
1676.03,2019,97.4355518087999,0,0
1677,2019,0,0,1572.12027074854
1678,2019,0,0,283.733639904556
1679,2019,0,0,290.97040566298
1680,2019,0,0,719.016637347317
1681,2019,0,0,236.948062529115
1682.01,2019,0,0,109.498341174038
1682.02,2019,0,0,84.0460045400416
1683,2019,376.948697462365,0,0
1684,2019,0,0,292.085865388903
1685,2019,0,0,143.670749569048
1686,2019,0,940.531605639884,0
1687,2019,0,761.246482006019,0
1688.01,2019,0,0,109.145042574064
1688.02,2019,0,0,243.446195571229
1688.03,2019,0,0,118.428795372573
1689.01,2019,0,0,81.0697152061352
1689.02,2019,0,0,136.001454252501
1689.03,2019,0,0,130.329122244529
1690.01,2019,0,0,139.897288689611
1690.02,2019,0,0,111.962906195289
1691,2019,0,0,90.2360408123907
1692,2019,135.987745593576,0,0
1693,2019,0,0,146.140477304047
1694,2019,765.141237358013,0,0
1695,2019,406.922068131543,0,0
1696,2019,191.073953056803,0,0
1697,2019,426.145689348129,0,0
1698,2019,0,47.3074694307144,0
1699,2019,914.570621565496,0,0
1700,2019,1486.17928467057,0,0
1701,2019,0,0,1641.57809079145
1702,2019,0,0,783.080451262298
1703,2019,75.7905805130574,0,0
1704.01,2019,66.228263009425,0,0
1704.02,2019,52.5937921903306,0,0
1704.03,2019,33.9494115045837,0,0
1705,2019,114.805978266436,0,0
1706,2019,596.21501989129,0,0
1707,2019,684.322246236296,0,0
1708,2019,381.928791183765,0,0
1709,2019,790.81586883575,0,0
1710,2019,0,782.685620644472,0
1711,2019,0,1354.67132373952,0
1712,2019,0,1144.79879103339,0
1713,2019,0,1169.42847770958,0
1714,2019,0,1323.19462773263,0
1715,2019,676.258329487002,0,0
1716,2019,180.814996668729,0,0
1717,2019,824.42215736483,0,0
1718,2019,572.797838425186,0,0
1719,2019,1325.73759102204,0,0
1720,2019,265.177298784207,0,0
1721,2019,0,506.265938378974,0
1722,2019,0,246.676753737464,0
1723,2019,0,277.636068269408,0
1724,2019,651.591702646981,0,0
1725.01,2019,0,0,28.6708222053806
1725.02,2019,0,0,46.6018014539037
1726.01,2019,0,0,38.2279099735504
1726.02,2019,0,0,33.5349556030713
1727,2019,0,0,56.5544137482071
1728.01,2019,0,0,56.6881014442535
1728.02,2019,65.5148470497692,0,0
1729.01,2019,39.1020598473201,0,0
1729.02,2019,0,0,31.0100261425172
1730.01,2019,56.8270297696737,0,0
1730.02,2019,0,0,72.3211551519861
1731.01,2019,68.6651990094014,0,0
1731.02,2019,68.2255392543906,0,0
1731.03,2019,0,0,34.2401732059407
1732,2019,687.333839906199,0,0
1733,2019,431.258571081947,0,0
1734,2019,647.659032100893,0,0
1735,2019,445.672355804041,0,0
1736,2019,475.097490771162,0,0
1737,2019,384.713603290673,0,0
1738,2019,210.153412829295,0,0
1739.01,2019,50.4010005828588,0,0
1739.02,2019,38.6168568739834,0,0
1739.03,2019,41.5390654154564,0,0
1740,2019,0,352.866993058798,0
1741.01,2019,0,0,57.3016915955051
1741.02,2019,0,0,26.1274016289236
1741.03,2019,0,0,46.3197970515847
1742.01,2019,0,0,103.623806982277
1742.02,2019,0,0,72.5186274224889
1743,2019,0,0,165.673265963236
1744.01,2019,0,0,85.503822334411
1744.02,2019,0,0,25.5154435534463
1745,2019,197.365697082602,0,0
1746,2019,135.343999327163,0,0
1747,2019,372.688722283171,0,0
1748,2019,246.613524587603,0,0
1749,2019,0,0,79.6672554489428
1750.01,2019,127.888510335864,0,0
1750.02,2019,0,0,26.3093129601492
1750.03,2019,50.3911178215845,0,0
1751,2019,101.171149562276,0,0
1752.01,2019,151.745052615489,0,0
1752.02,2019,88.7842327187536,0,0
1753.01,2019,0,0,35.6547792030484
1753.02,2019,0,0,77.7334302075541
1753.03,2019,50.2459326811756,0,0
1754.01,2019,43.8295600449567,0,0
1754.02,2019,70.9312664104226,0,0
1754.03,2019,0,0,45.7839164047055
1755,2019,105.291346120677,0,0
1756,2019,214.919434932921,0,0
1757,2019,205.21086018751,0,0
1758,2019,249.398033551133,0,0
1759,2019,403.591686141544,0,0
1760,2019,468.073228485385,0,0
1761,2019,608.432773706803,0,0
1762,2019,492.204695692716,0,0
1763,2019,821.663476232037,0,0
1764,2019,769.6264260178,0,0
1765,2019,0,866.443691657188,0
1766,2019,0,929.484199915854,0
1767,2019,733.561012395905,0,0
1768,2019,444.562736394859,0,0
1769,2019,565.966731057254,0,0
1770.01,2019,0,0,55.2619868364619
1770.02,2019,0,0,27.7756754996082
1771,2019,393.697889081054,0,0
1772,2019,710.081425343605,0,0
1773,2019,0,0,84.0981491273241
1774,2019,430.688988321833,0,0
1775,2019,718.841422276351,0,0
1776,2019,0,86.3742907628776,0
1777,2019,0,574.657084648687,0
1778,2019,568.675491149664,0,0
1779,2019,949.32828825871,0,0
1780,2019,884.383291284102,0,0
1781,2019,0,292.52493850613,0
1782,2019,638.088863483916,0,0
1783,2019,675.796415686962,0,0
1784,2019,0,172.012650279037,0
1785,2019,71.4270577427193,0,0
1786,2019,88.4375180819076,0,0
1787,2019,74.907243644937,0,0
1788,2019,638.003634673328,0,0
1789,2019,180.957186643026,0,0
1790,2019,206.647907367843,0,0
1791,2019,176.624724288464,0,0
1792,2019,103.812840608373,0,0
1793.01,2019,0,75.5356815677804,0
1793.02,2019,24.7627699591851,0,0
1794,2019,64.0705921758527,0,0
1795,2019,100.9269850338,0,0
1796.01,2019,109.574520834789,0,0
1796.02,2019,254.859669159435,0,0
1796.03,2019,223.556290099895,0,0
1797.01,2019,82.6962865980554,0,0
1797.02,2019,99.1722512791316,0,0
1797.03,2019,45.0555498944332,0,0
1798.01,2019,154.192763943568,0,0
1798.02,2019,105.900162635935,0,0
1798.03,2019,152.188733561527,0,0
1798.04,2019,122.768029220105,0,0
1799,2019,193.67430880879,0,0
1800.01,2019,263.620369704832,0,0
1800.02,2019,155.97815951382,0,0
1800.03,2019,247.197218849957,0,0
1800.04,2019,54.0151042918139,0,0
1800.05,2019,230.624022705648,0,0
1800.06,2019,117.774584769958,0,0
1801,2019,0,0,40.9832314316604
1802,2019,195.348453741854,0,0
1803,2019,79.3773449915624,0,0
1804,2019,128.001626160693,0,0
1805,2019,424.964489005991,0,0
1806,2019,103.414865676666,0,0
1807,2019,445.627486593015,0,0
1808,2019,279.850771236787,0,0
1809,2019,69.5756845862705,0,0
1810,2019,388.501780115,0,0
1811,2019,313.536679258204,0,0
1812,2019,110.004703320999,0,0
1813,2019,0,0,33.7444159860035
1814.01,2019,0,0,44.3684788225383
1814.02,2019,0,0,45.6771317359206
1815,2019,88.8465311117468,0,0
1816,2019,465.181340904925,0,0
1817.01,2019,84.0221778625483,0,0
1817.02,2019,23.0955474500531,0,0
1817.03,2019,54.2383886882305,0,0
1818,2019,128.361360840113,0,0
1819,2019,117.382465204137,0,0
1820,2019,234.635852835919,0,0
1821,2019,592.634922398863,0,0
1822,2019,392.328799427322,0,0
1823,2019,609.195509543425,0,0
1824,2019,417.203973101126,0,0
1825,2019,209.534692252243,0,0
1826,2019,297.507757358366,0,0
1827,2019,335.864607085304,0,0
1828,2019,629.238184786665,0,0
1829,2019,0,142.772557179295,0
1830,2019,377.228250093455,0,0
1831,2019,389.984190570757,0,0
1832.01,2019,0,0,49.2490780344471
1832.02,2019,76.3710859999073,0,0
1832.03,2019,18.2060487627986,0,0
1833.01,2019,0,0,67.5710240311326
1833.02,2019,0,0,35.2795637894889
1833.03,2019,0,0,29.731412801371
1834,2019,653.150496986038,0,0
1835,2019,178.726096051696,0,0
1836,2019,112.95549031464,0,0
1837,2019,0,0,66.4892285074155
1838.01,2019,36.4777512866298,0,0
1838.02,2019,14.8121543739842,0,0
1839,2019,24.8153498640634,0,0
1840,2019,0,0,52.6303877007478
1841.01,2019,0,0,13.7748702217452
1841.02,2019,0,0,15.1353394726781
1841.03,2019,0,0,29.7662833686719
1841.04,2019,0,0,13.6722068634359
1842.01,2019,0,0,51.3665758945495
1842.02,2019,0,0,18.1944897775035
1843.01,2019,29.5687808717063,0,0
1843.02,2019,0,0,74.0368284009767
1844,2019,0,0,29.8864044767258
1845.01,2019,0,0,15.6236821659513
1845.02,2019,0,0,26.1863932717193
1845.03,2019,0,0,18.4237649759363
1846.01,2019,0,0,37.5925209387076
1846.02,2019,0,0,24.1951646024462
1847.01,2019,47.2677537861235,0,0
1847.02,2019,38.993395723664,0,0
1848.01,2019,49.6648504313654,0,0
1848.02,2019,0,0,42.3973331761792
1849.01,2019,33.28968194873,0,0
1849.02,2019,0,0,42.5075641291343
1850,2019,42.8196692251936,0,0
1851.01,2019,229.026832056461,0,0
