Geo,Year,AveHhSize,Prop1PerHh
Fairfax,2019,2.7,0.23
Falls Church,2019,2.7,0.33
Fairfax City,2019,2.7,0.24
Fairfax,2045,2.7,0.23
Falls Church,2045,2.7,0.33
Fairfax City,2045,2.7,0.24
