Year,DrvPerPrsn15to19,DrvPerPrsn20to29,DrvPerPrsn30to54,DrvPerPrsn55to64,DrvPerPrsn65Plus
2019,0.40264,0.80856,0.90327,0.94755,0.8699
2045,0.40264,0.80856,0.90327,0.94755,0.8699
