Geo,Year ,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
NVTA,2019,2777817,0,15761466,0,0,0,13032795,0
NVTA,2045,3741879,0,35951837,0,0,0,17555925,0
