Year,RoadBaseModCost.2005,RoadPresOpMaintCost.2005,RoadOtherCost.2005,FwyLnMiCost.2005.1e3,ArtLnMiCost.2005.1e3,HvyTrkPCE
2019,0.004,0.01,0.015,4900,1800,93.25
2045,0.004,0.01,0.015,4900,1800,93.25
