"Azone","Bzone","Czone","Marea"
"Fairfax",2036.03,NA,"NVTA"
"Fairfax",1944.04,NA,"NVTA"
"Fairfax",1944.06,NA,"NVTA"
"Fairfax",1943.02,NA,"NVTA"
"Fairfax",1901.03,NA,"NVTA"
"Fairfax",1901.01,NA,"NVTA"
"Fairfax",1906.02,NA,"NVTA"
"Fairfax",1739.02,NA,"NVTA"
"Fairfax",1741.02,NA,"NVTA"
"Fairfax",1945.03,NA,"NVTA"
"Fairfax",2013.02,NA,"NVTA"
"Fairfax",1989.03,NA,"NVTA"
"Fairfax",2018.01,NA,"NVTA"
"Fairfax",2018.03,NA,"NVTA"
"Fairfax",2012.02,NA,"NVTA"
"Fairfax",1989.02,NA,"NVTA"
"Fairfax",2006.02,NA,"NVTA"
"Fairfax",1688.03,NA,"NVTA"
"Fairfax",1676.03,NA,"NVTA"
"Fairfax",1945.01,NA,"NVTA"
"Fairfax",1833.01,NA,"NVTA"
"Fairfax",1833.03,NA,"NVTA"
"Fairfax City",1796.01,NA,"NVTA"
"Fairfax City",1796.03,NA,"NVTA"
"Fairfax City",1797.01,NA,"NVTA"
"Fairfax City",1797.03,NA,"NVTA"
"Fairfax City",1632.02,NA,"NVTA"
"Fairfax City",1632.03,NA,"NVTA"
"Fairfax City",1632.04,NA,"NVTA"
"Fairfax City",1630.02,NA,"NVTA"
"Fairfax City",1800.01,NA,"NVTA"
"Fairfax City",1800.02,NA,"NVTA"
"Fairfax City",1800.06,NA,"NVTA"
"Fairfax City",1800.04,NA,"NVTA"
"Fairfax City",1800.05,NA,"NVTA"
"Fairfax City",1798.01,NA,"NVTA"
"Fairfax City",1798.02,NA,"NVTA"
"Fairfax City",1798.04,NA,"NVTA"
"Fairfax City",1793.02,NA,"NVTA"
"Fairfax",1628.02,NA,"NVTA"
"Fairfax",1628.03,NA,"NVTA"
