Geo,Latitude,Longitude,Year
1724,38.96590739,-77.32211011,2019
1725.01,38.95025021,-77.33235317,2019
1725.02,38.95068908,-77.32758787,2019
1726.01,38.94728687,-77.33342057,2019
1726.02,38.94581871,-77.32499841,2019
1727,38.9469074,-77.34320682,2019
1728.01,38.95290542,-77.33798521,2019
1728.02,38.94974999,-77.34116877,2019
1729.01,38.94946534,-77.35527519,2019
1729.02,38.94902634,-77.34912709,2019
1730.01,38.95591739,-77.35058891,2019
1730.02,38.9526034,-77.35088243,2019
1731.01,38.96352311,-77.36409473,2019
1731.02,38.96321142,-77.35898123,2019
1731.03,38.96361092,-77.35524301,2019
1732,38.962955,-77.34258753,2019
1733,38.97664766,-77.34350965,2019
1734,38.97910675,-77.35554896,2019
1735,38.98367729,-77.36684478,2019
1736,38.97934834,-77.38652771,2019
1737,38.97200544,-77.37550755,2019
1738,38.97263145,-77.36985161,2019
1739.01,38.95875149,-77.36619274,2019
1739.02,38.95966478,-77.35898696,2019
1739.03,38.95763537,-77.35919643,2019
1740,38.95855825,-77.37972416,2019
1741.01,38.95455422,-77.35905007,2019
1741.02,38.95481724,-77.36523295,2019
1741.03,38.95519602,-77.3698897,2019
1742.01,38.95003533,-77.36094932,2019
1742.02,38.95144171,-77.37058211,2019
1743,38.94708337,-77.36696148,2019
1744.01,38.95125724,-77.38158879,2019
1744.02,38.94959244,-77.3890705,2019
1745,38.9459163,-77.38512426,2019
1746,38.95605145,-77.39535658,2019
1747,38.96340719,-77.39105901,2019
1748,38.962905,-77.40845324,2019
1749,38.9561156,-77.40930033,2019
1750.01,38.95326907,-77.40170316,2019
1750.02,38.95218727,-77.39153312,2019
1750.03,38.95028905,-77.39478192,2019
1751,38.94822542,-77.39871649,2019
1752.01,38.94734466,-77.40618457,2019
1752.02,38.94424227,-77.41038671,2019
1753.01,38.95682252,-77.41405954,2019
1753.02,38.9529475,-77.4142672,2019
1753.03,38.95073218,-77.41698196,2019
1754.01,38.95027,-77.4215325,2019
1754.02,38.94559989,-77.41607251,2019
1754.03,38.94492551,-77.41987276,2019
1755,38.94928932,-77.42577723,2019
1756,38.93734168,-77.41807657,2019
1757,38.93939716,-77.40291724,2019
1758,38.9296749,-77.40926636,2019
1759,38.9301382,-77.38366884,2019
1760,38.93352704,-77.39441838,2019
1761,38.93886274,-77.37345337,2019
1762,38.91974404,-77.38461399,2019
1763,38.90833846,-77.37175665,2019
1764,38.89256277,-77.36501477,2019
1765,38.90453386,-77.34108821,2019
1766,38.91716591,-77.3468887,2019
1767,38.9289848,-77.35811956,2019
1768,38.94052148,-77.35298317,2019
1769,38.93697924,-77.33763761,2019
1770.01,38.94416866,-77.33409059,2019
1770.02,38.94304188,-77.32728192,2019
1771,38.92618621,-77.33512179,2019
1772,38.93453673,-77.31623492,2019
1773,38.9442641,-77.3183442,2019
1774,38.94062595,-77.30212195,2019
1775,38.91978983,-77.29235954,2019
1776,38.92590638,-77.3079266,2019
1777,38.91221603,-77.31073229,2019
1778,38.90798687,-77.29348955,2019
1779,38.89298091,-77.29271933,2019
1780,38.8915564,-77.31263912,2019
1781,38.91240963,-77.3224947,2019
1782,38.89359696,-77.33231175,2019
1783,38.88214606,-77.35185418,2019
1784,38.86780862,-77.32997111,2019
1785,38.86240619,-77.32785591,2019
1786,38.86951722,-77.3151112,2019
1787,38.87357559,-77.31121716,2019
1788,38.87817296,-77.32421965,2019
1789,38.87944989,-77.29491538,2019
1790,38.87445598,-77.29596993,2019
1791,38.86793949,-77.29750651,2019
1792,38.86501152,-77.28945168,2019
1793.01,38.86225277,-77.30080879,2019
1793.02,38.86132551,-77.30617204,2019
1794,38.86672537,-77.30607823,2019
1795,38.872701,-77.30554611,2019
1796.01,38.85653873,-77.32637786,2019
1796.02,38.85885957,-77.31815589,2019
1796.03,38.86441988,-77.31416482,2019
1797.01,38.85285134,-77.31649105,2019
1797.02,38.85016744,-77.3103692,2019
1797.03,38.8554375,-77.30965587,2019
1798.01,38.85670145,-77.30243057,2019
1798.02,38.8508213,-77.30173142,2019
1798.03,38.85820227,-77.2928034,2019
1798.04,38.86180774,-77.28311527,2019
1799,38.84052089,-77.29052776,2019
1800.01,38.85481273,-77.28449325,2019
1800.02,38.84801035,-77.29627515,2019
1800.03,38.84659985,-77.28444635,2019
1800.04,38.84344612,-77.27344208,2019
1800.05,38.85261318,-77.27403348,2019
1800.06,38.86212115,-77.27310653,2019
1801,38.86552282,-77.27950372,2019
1802,38.87002152,-77.28399055,2019
1803,38.87187918,-77.27760101,2019
1804,38.87386603,-77.27285492,2019
1805,38.88428857,-77.27938542,2019
1806,38.87997902,-77.27427614,2019
1807,38.88399975,-77.25499297,2019
1808,38.87606055,-77.25588689,2019
1809,38.87453024,-77.26712236,2019
1810,38.86874588,-77.25822483,2019
1811,38.86130102,-77.25290814,2019
1812,38.8686937,-77.2427037,2019
1813,38.87230302,-77.23989674,2019
1814.01,38.87850719,-77.23725993,2019
1814.02,38.87440373,-77.24035596,2019
1815,38.87739316,-77.24336615,2019
1816,38.88719072,-77.23550623,2019
1817.01,38.87751345,-77.23358948,2019
1817.02,38.88183959,-77.2298409,2019
1817.03,38.8772336,-77.22930389,2019
1818,38.88789737,-77.22339551,2019
1819,38.8963097,-77.2286724,2019
1820,38.89603144,-77.23916994,2019
1821,38.90216352,-77.25068944,2019
1822,38.91534029,-77.25366809,2019
1823,38.89337614,-77.26235352,2019
1824,38.90226037,-77.27503498,2019
1825,38.90911147,-77.26651966,2019
1826,38.92125398,-77.26464463,2019
1827,38.91892477,-77.27551753,2019
1828,38.93303778,-77.2852651,2019
1829,38.93708538,-77.27373631,2019
1830,38.93886796,-77.25880401,2019
1831,38.92714379,-77.25741609,2019
1832.01,38.93054391,-77.2450456,2019
1832.02,38.92919679,-77.24872151,2019
1832.03,38.92989607,-77.25199716,2019
1833.01,38.93289252,-77.24131148,2019
1833.02,38.93188257,-77.23528199,2019
1833.03,38.93001666,-77.23939189,2019
1834,38.94459932,-77.24287189,2019
1835,38.93739454,-77.23768087,2019
1836,38.93661929,-77.22765655,2019
1837,38.93282916,-77.22610515,2019
1838.01,38.93019447,-77.23038943,2019
1838.02,38.92919502,-77.22863588,2019
1839,38.92696208,-77.22858451,2019
1840,38.92982985,-77.22365222,2019
1841.01,38.92778137,-77.22445395,2019
1841.02,38.92517971,-77.21997903,2019
1841.03,38.92462345,-77.22184748,2019
1841.04,38.92148747,-77.22019904,2019
1842.01,38.92424141,-77.22485154,2019
1842.02,38.92092307,-77.22402095,2019
1843.01,38.91987025,-77.22037545,2019
1843.02,38.91713738,-77.2218382,2019
1844,38.91789903,-77.22740293,2019
1845.01,38.92300521,-77.23439677,2019
1845.02,38.92302116,-77.23199662,2019
1845.03,38.92017151,-77.2307795,2019
1846.01,38.92435825,-77.22992504,2019
1846.02,38.92113266,-77.22754525,2019
1847.01,38.92672356,-77.23696644,2019
1847.02,38.92864947,-77.23366036,2019
1848.01,38.92388786,-77.24265266,2019
1848.02,38.92586767,-77.24066652,2019
1849.01,38.91911349,-77.23738089,2019
1849.02,38.9205116,-77.23480109,2019
1850,38.91826623,-77.24085349,2019
1851.01,38.90985625,-77.24093367,2019
1851.02,38.90570342,-77.23076243,2019
1852.01,38.91499098,-77.23610818,2019
1852.02,38.91153317,-77.22784894,2019
1853.01,38.9151719,-77.23209779,2019
1853.02,38.91667201,-77.2301105,2019
1854.01,38.91383483,-77.22654135,2019
1854.02,38.911961,-77.22369545,2019
1855,38.91383846,-77.22003795,2019
1856,38.90775475,-77.21968326,2019
1857,38.8978007,-77.21985309,2019
1858,38.89827356,-77.20942248,2019
1859,38.90749154,-77.21595094,2019
1860,38.91193789,-77.21633521,2019
1861,38.91052096,-77.20582859,2019
1862,38.9158525,-77.19729783,2019
1863,38.91992851,-77.18676097,2019
1864,38.92545189,-77.20101201,2019
1865.01,38.92202383,-77.20599195,2019
1865.02,38.92476276,-77.20701736,2019
1865.03,38.92383844,-77.20287379,2019
1865.04,38.92085116,-77.20237519,2019
1866.01,38.91426363,-77.21484192,2019
1866.02,38.91592704,-77.21201085,2019
1866.03,38.91887735,-77.20822177,2019
1867.01,38.91969014,-77.21443958,2019
1867.02,38.9211731,-77.21093906,2019
1868.01,38.92863491,-77.21882154,2019
1868.02,38.93135194,-77.21541111,2019
1868.03,38.92552618,-77.21615667,2019
1869.01,38.92825297,-77.20834541,2019
1869.02,38.92494173,-77.2125227,2019
1870,38.93223177,-77.20519286,2019
1871,38.93924983,-77.21361565,2019
1872,38.93817882,-77.19852804,2019
1873,38.93358826,-77.18181218,2019
1874,38.93119765,-77.19204628,2019
1875,38.92809187,-77.18542477,2019
1876,38.92823575,-77.17631828,2019
1877,38.93406615,-77.17369372,2019
1878,38.93124449,-77.17822072,2019
1879,38.93735766,-77.17885407,2019
1880,38.93877706,-77.15738093,2019
1881,38.94491704,-77.17542336,2019
1882,38.95795441,-77.17248582,2019
1883,38.94680413,-77.19100275,2019
1884,38.95374602,-77.21139125,2019
1885,38.96656386,-77.21446205,2019
1886,38.96631633,-77.24023056,2019
1887,38.94523429,-77.22224916,2019
1888,38.95298406,-77.23362771,2019
1889,38.95753171,-77.25176582,2019
1890,38.96114505,-77.26770454,2019
1891,38.94784076,-77.27357523,2019
1892,38.95419243,-77.28592094,2019
1893,38.96972225,-77.25903233,2019
1894,38.98048463,-77.26575912,2019
1895,38.97752339,-77.2818855,2019
1896,39.00037158,-77.27492487,2019
1897,39.00524255,-77.25577619,2019
1898,39.01661096,-77.28304143,2019
1899,39.03351011,-77.28572038,2019
1900,38.95113378,-77.1441731,2019
1901.01,38.84754352,-77.11625498,2019
1901.02,38.84966935,-77.12078993,2019
1901.03,38.85073043,-77.12518901,2019
1902,38.8447032,-77.12015563,2019
1903,38.84272581,-77.1157106,2019
1904,38.84527528,-77.11252704,2019
1905,38.84115674,-77.1325921,2019
1906.01,38.84771529,-77.13047891,2019
1906.02,38.84855133,-77.12690659,2019
1907,38.8502833,-77.13330938,2019
1908,38.85151449,-77.14411042,2019
1909,38.85512577,-77.13915435,2019
1910,38.85504591,-77.13636026,2019
1911,38.85738614,-77.13196115,2019
1912,38.85287332,-77.12783968,2019
1913,38.86367234,-77.1394773,2019
1914,38.86018402,-77.14270872,2019
1915,38.93034448,-77.13608683,2019
1916,38.9295639,-77.15530958,2019
1917,38.92011219,-77.14503816,2019
1918,38.92020107,-77.16925349,2019
1919,38.90949943,-77.1609028,2019
1920,38.88869934,-77.17375148,2019
1921,38.89632734,-77.17967799,2019
1922,38.90378126,-77.17573957,2019
1923,38.90726113,-77.18527088,2019
1924,38.90566816,-77.19323665,2019
1925,38.89824462,-77.19036897,2019
1926,38.90174831,-77.18333932,2019
1927,38.89378792,-77.18417818,2019
1928,38.89053331,-77.18945646,2019
1929,38.89542923,-77.1950346,2019
1930,38.88973052,-77.20748263,2019
1931,38.88254404,-77.20645118,2019
1932,38.88046597,-77.19487664,2019
1933,38.88676323,-77.18727522,2019
1934,38.8816148,-77.18782549,2019
1935,38.87342381,-77.18341774,2019
1936,38.87385812,-77.16890528,2019
1937,38.87815635,-77.16778693,2019
1938,38.88275469,-77.17907376,2019
1939,38.88239701,-77.16461411,2019
1940,38.87691031,-77.15678776,2019
1941,38.87274768,-77.15985871,2019
1942,38.87128204,-77.1578528,2019
1943.01,38.87068144,-77.15592125,2019
1943.02,38.86885662,-77.15398346,2019
1943.03,38.86646203,-77.15262033,2019
1944.01,38.872057,-77.15318432,2019
1944.02,38.87201449,-77.15047243,2019
1944.03,38.87242551,-77.1472073,2019
1944.04,38.87019429,-77.14359225,2019
1944.05,38.86805884,-77.14235094,2019
1944.06,38.87020266,-77.14792902,2019
1945.01,38.87127985,-77.15449938,2019
1945.02,38.8689987,-77.15138952,2019
1945.03,38.86686064,-77.14760413,2019
1946,38.86492433,-77.14637539,2019
1947,38.86098432,-77.15600734,2019
1948,38.86534162,-77.16850299,2019
1949,38.85077301,-77.16228257,2019
1950,38.83330653,-77.14469878,2019
1951,38.84186768,-77.16120996,2019
1952,38.83236703,-77.1739034,2019
1953,38.85290262,-77.18099624,2019
1954,38.84294636,-77.18753679,2019
1955,38.83281768,-77.19320162,2019
1956,38.83669475,-77.1947685,2019
1957,38.83752916,-77.20375754,2019
1958,38.83191319,-77.19946394,2019
1959,38.84327121,-77.21334801,2019
1960,38.85544593,-77.21005782,2019
1961,38.85840348,-77.19901462,2019
1962,38.86309403,-77.18490628,2019
1963,38.87172513,-77.19684235,2019
1964,38.86448807,-77.20920051,2019
1965,38.86153698,-77.21585926,2019
1966.01,38.87222246,-77.21341924,2019
1966.02,38.86851472,-77.21224403,2019
1967,38.87154294,-77.20638681,2019
1968.01,38.88113754,-77.22442701,2019
1968.02,38.87676692,-77.22361417,2019
1969.01,38.87134828,-77.22547764,2019
1969.02,38.86981696,-77.22293118,2019
1970,38.8705419,-77.21789952,2019
1971,38.86067211,-77.22337939,2019
1972.01,38.86437189,-77.23723701,2019
1972.02,38.86409773,-77.23123812,2019
1972.03,38.86114605,-77.22927416,2019
1972.04,38.85779644,-77.22895341,2019
1973.01,38.87184267,-77.23445769,2019
1973.02,38.87127926,-77.22999714,2019
1973.03,38.86716942,-77.23035347,2019
1973.04,38.86754186,-77.23645501,2019
1974,38.85525253,-77.2376896,2019
1975,38.84408903,-77.23177044,2019
1976,38.84897777,-77.25900555,2019
1977,38.83198651,-77.26130463,2019
1978,38.82948747,-77.27573981,2019
1979,38.81611301,-77.24771712,2019
1980,38.82862295,-77.24687456,2019
1981,38.82572657,-77.22811208,2019
1982,38.82588153,-77.21685898,2019
1983,38.80668711,-77.21757651,2019
1984,38.80438944,-77.24321522,2019
1985,38.80045224,-77.22533557,2019
1986,38.78565854,-77.2245431,2019
1987,38.78606167,-77.20324278,2019
1988,38.79691867,-77.20661901,2019
1989.01,38.80572635,-77.19905347,2019
1989.02,38.79869042,-77.19199441,2019
1989.03,38.79694494,-77.18896284,2019
1990,38.82059947,-77.21016578,2019
1991,38.83087123,-77.20657712,2019
1992,38.82979616,-77.19965328,2019
1993,38.82942163,-77.19601112,2019
1994,38.83101565,-77.18953892,2019
1995,38.82883025,-77.19133676,2019
1996,38.8178486,-77.19766775,2019
1997,38.80967089,-77.17508894,2019
1998,38.82013026,-77.1794035,2019
1999,38.82426763,-77.1552025,2019
2000,38.82879411,-77.16202856,2019
2001,38.82317288,-77.14672512,2019
2002,38.81509774,-77.14757579,2019
2003,38.81466944,-77.1588831,2019
2004,38.8063252,-77.16409972,2019
2005,38.80461336,-77.17835811,2019
2006.01,38.79631606,-77.16444725,2019
2006.02,38.80050925,-77.16131562,2019
2007,38.80090322,-77.15107576,2019
2008,38.78733237,-77.14893074,2019
2009,38.77745831,-77.15196645,2019
2010,38.77536254,-77.16040959,2019
2011,38.78586503,-77.16404508,2019
2012.01,38.78345159,-77.17506206,2019
2012.02,38.77972193,-77.17828516,2019
2013.01,38.79928629,-77.17488647,2019
2013.02,38.79445965,-77.18124394,2019
2014,38.78919425,-77.1913108,2019
2015,38.78926509,-77.1819418,2019
2016,38.7832902,-77.18251679,2019
2017,38.78071261,-77.18300202,2019
2018.01,38.77694149,-77.18605694,2019
2018.02,38.77714492,-77.18347384,2019
2018.03,38.77250968,-77.18429655,2019
2019,38.78109294,-77.18854006,2019
2020,38.76911611,-77.19992013,2019
2021,38.77172039,-77.19082065,2019
2022,38.77461396,-77.18788569,2019
2023,38.761772,-77.19463372,2019
2024,38.75961967,-77.18047037,2019
2025.01,38.76731672,-77.17902546,2019
2025.02,38.76771582,-77.17175233,2019
2025.03,38.76354274,-77.17570153,2019
2026,38.77089507,-77.17565551,2019
2027,38.77510135,-77.17997047,2019
2028,38.77432669,-77.17481452,2019
2029,38.77358405,-77.17028314,2019
2030,38.77331861,-77.16589208,2019
2031,38.7643887,-77.16339402,2019
2032,38.76990091,-77.15806229,2019
2033,38.77392312,-77.14475064,2019
2034,38.75190367,-77.1550419,2019
2035,38.75377688,-77.16988018,2019
2036.01,38.73834626,-77.14662073,2019
2036.02,38.73217227,-77.13084577,2019
2036.03,38.72464314,-77.14216294,2019
2037,38.74765624,-77.13169425,2019
2038,38.76242892,-77.13791874,2019
2039,38.76886981,-77.136156,2019
2040,38.77173164,-77.13861747,2019
2041,38.77404639,-77.12103399,2019
2042,38.75508315,-77.11341294,2019
2043,38.76655966,-77.10280413,2019
2044.01,38.76715061,-77.08886095,2019
2044.02,38.77825627,-77.08149557,2019
2045,38.77240308,-77.08298993,2019
2046,38.77134205,-77.0810879,2019
2047.01,38.78043993,-77.0897785,2019
2047.02,38.78289659,-77.08020378,2019
2048,38.77580329,-77.1044647,2019
2049,38.78570321,-77.10527374,2019
2050,38.79784098,-77.1069259,2019
2051,38.79397019,-77.11590669,2019
2052,38.78014389,-77.12822642,2019
2053,38.78913958,-77.12995342,2019
2054,38.79012954,-77.1400142,2019
2055,38.79561921,-77.12723134,2019
2056,38.79929235,-77.12466927,2019
2057,38.797683,-77.09702243,2019
2058,38.79680648,-77.0861069,2019
2059,38.79294408,-77.0735046,2019
2060,38.78951266,-77.08150437,2019
2061.01,38.78317044,-77.07734972,2019
2061.02,38.78624304,-77.07583946,2019
2062.01,38.77890445,-77.07753561,2019
2062.02,38.78354779,-77.07198816,2019
2062.03,38.7787787,-77.06932479,2019
2063.01,38.78824149,-77.07004585,2019
2063.02,38.78535541,-77.07195211,2019
2064,38.79224362,-77.06154641,2019
2065,38.7965467,-77.0703785,2019
2066.01,38.79113256,-77.05811742,2019
2066.02,38.78207251,-77.05203637,2019
2067,38.76388098,-77.05158203,2019
2068,38.72117666,-77.05997404,2019
2069.01,38.73308515,-77.0710453,2019
2069.02,38.74010515,-77.07697368,2019
2070,38.74152647,-77.06380094,2019
2071,38.74443865,-77.04773201,2019
2072,38.76674302,-77.06961098,2019
2073.01,38.7573969,-77.07913148,2019
2073.02,38.7633972,-77.08110958,2019
2073.03,38.75293756,-77.06991191,2019
2074.01,38.75506146,-77.08262471,2019
2074.02,38.74569714,-77.08273477,2019
2075.01,38.75483837,-77.08462974,2019
2075.02,38.74664249,-77.08616412,2019
2076.01,38.75415984,-77.08985694,2019
2076.02,38.74438895,-77.09147483,2019
2076.03,38.75262675,-77.087248,2019
2077,38.72514,-77.08505809,2019
2078,38.72064879,-77.0920649,2019
2079.01,38.72501289,-77.11379889,2019
2079.02,38.72237873,-77.10335765,2019
2080.01,38.73062467,-77.1028507,2019
2080.02,38.73496862,-77.09547829,2019
2080.03,38.73086601,-77.09857808,2019
2080.04,38.72649561,-77.10383127,2019
2081,38.73533804,-77.09915666,2019
2082,38.73860422,-77.11037648,2019
2083,38.72839363,-77.11632145,2019
2084,38.73004539,-77.1110748,2019
2085.01,38.72200874,-77.12456192,2019
2085.02,38.72305999,-77.13005233,2019
2086.01,38.71918683,-77.12599403,2019
2086.02,38.71696799,-77.12511629,2019
2086.03,38.71405519,-77.13476739,2019
2087,38.71264562,-77.11612938,2019
2088,38.70489114,-77.10361606,2019
2089.01,38.68297026,-77.14610924,2019
2089.02,38.70353405,-77.15278687,2019
2089.03,38.69908135,-77.14099666,2019
2089.04,38.69813179,-77.13008199,2019
2090,38.6874306,-77.17078879,2019
2091,38.6645433,-77.20097564,2019
2092,38.65077542,-77.14875732,2019
2093,38.63406223,-77.18733952,2019
2094,38.69376361,-77.2644532,2019
2095,38.70889387,-77.28226011,2019
2096.01,38.71239763,-77.24489253,2019
2096.02,38.71048121,-77.235936,2019
2097,38.70885687,-77.22694291,2019
2098,38.6995163,-77.21750234,2019
2099.01,38.69966504,-77.23061499,2019
2099.02,38.68453745,-77.2347075,2019
2100,38.68906828,-77.24702675,2019
2101,38.68613249,-77.22634524,2019
2102,38.68015104,-77.22517439,2019
2103,38.69102052,-77.20286196,2019
2104,38.69316732,-77.21108889,2019
2105,38.69974445,-77.20490825,2019
2106,38.71076195,-77.21147347,2019
2107,38.71821092,-77.21513691,2019
2108,38.71780424,-77.19938814,2019
2109,38.70678974,-77.19875513,2019
2110,38.71534705,-77.19122479,2019
2111.01,38.71006877,-77.18692481,2019
2111.02,38.7153298,-77.17686707,2019
2112.01,38.72858299,-77.16280598,2019
2112.02,38.72125846,-77.14964648,2019
2112.03,38.71867466,-77.1564309,2019
2112.04,38.71329508,-77.14958632,2019
2112.05,38.7099918,-77.1599379,2019
2112.06,38.71649012,-77.16238299,2019
2113,38.72679889,-77.17487031,2019
2114.01,38.72878447,-77.18437427,2019
2114.02,38.73284741,-77.17781008,2019
2114.03,38.7403331,-77.1698486,2019
2115.01,38.75280592,-77.17705583,2019
2115.02,38.74135453,-77.18062117,2019
2116.01,38.7300737,-77.19579097,2019
2116.02,38.73528165,-77.1881922,2019
2117.01,38.72469386,-77.19088486,2019
2117.02,38.73295522,-77.18602931,2019
2118,38.73071699,-77.20571046,2019
2119,38.74152724,-77.20436263,2019
2120,38.73596394,-77.19687547,2019
2121,38.74673276,-77.18988446,2019
2122,38.747418,-77.18443163,2019
2123,38.75337292,-77.19392801,2019
2124,38.75069683,-77.206984,2019
2125,38.76912639,-77.21772676,2019
2126,38.74765938,-77.23288292,2019
2127,38.7383688,-77.23978925,2019
2128,38.73983652,-77.2170856,2019
2129,38.71992623,-77.22549296,2019
2130,38.72917947,-77.23659275,2019
2131,38.72087637,-77.26383994,2019
2132,38.74056927,-77.26701889,2019
2133,38.76744158,-77.27594252,2019
2134,38.76183785,-77.26492999,2019
2135,38.75521945,-77.25211988,2019
2136,38.76650591,-77.24499572,2019
2137,38.76826737,-77.23182048,2019
2138,38.78159416,-77.24750588,2019
2139,38.79038359,-77.25903643,2019
2140,38.7822905,-77.26846605,2019
2141,38.77684496,-77.28542696,2019
2142,38.79239996,-77.287683,2019
2143,38.79948526,-77.25808416,2019
2144,38.80487583,-77.27264737,2019
2145,38.81934299,-77.29233516,2019
2146,38.80823234,-77.29234682,2019
2147,38.80553943,-77.31246678,2019
2148,38.78282063,-77.29318498,2019
2149,38.77811536,-77.31477553,2019
2150,38.79235183,-77.31356303,2019
